Intent,Utterance
my-name-is-xxxx,do you know me?
my-name-is-xxxx,what is my name
my-role-band,what is my role band
my-role-band,my role band
my-role-band,my role banding
my-role-band,my new role
my-role-band,my new role banding
my-role-band,what is my role banding
my-role-band,what is my band
my-role-band,how can i know my band
my-role-band,i belong to which band
my-role-band,which band am i in
my-role-band,which band i am in
my-role-band,What is my band
my-role-band,my roleband
my-role-band,my role band
my-role-band,what is my roleband
my-role-band,what is my my role band
my-role-band,what is my current role
my-role-band,what is my colour band
my-role-band,what is my color band
my-role-band,what is my current role band
my-role-band,what is my role band
my-role-band,what role band is mine
my-role-band,which role band is mine
my-role-band,what is my role bamd
netflix,suggest me some good shows on netflix
netflix,i do want to watch television suggest me some good tv shows in netflix
netflix,Shows on netflix
nice-to-meet-you,good to see you
nice-to-meet-you,Good to know you.
nice-to-meet-you,glad to meet you
nice-to-meet-you,nice to meet you
nice-to-meet-you,Nice to meet you
nice-to-meet-you,good to meet you
no-fun-in-life,no fun in life
none-of-the-above,None of the Above
out-of-office,out of office
out-of-office,i'll be out of office from 24th to 25th. trigger an email to my colleagues
out-of-office,out of office on 25th november
out-of-office,out of office from 5th december to 30th december
out-of-office,i'll be out of office tomorrow
out-of-office,i'll be out of office next week
out-of-office,i'm planning to go on vacation
out-of-office,i'm ooo tomorrow
out-of-office,i'm oof 
out-of-office,configure ooo
out-of-office,schedule ooo
out-of-office,I am travelling
out-of-office,I am going on vacation
out-of-office,set automatic reply
out-of-office,automatic replies
out-of-office,set automatic replies
out-of-office,configure automatic reply
out-of-office,out of office from tomorrow
out-of-office,out of office from tomorrow for 10 hours
out-of-office,out of office from tomorrow at 9pm
out-of-office,I will be out of workplace from tomorrow
out-of-office,I want to set Out of Office message
out-of-office,"I will not be coming for 2 days, need to schedule a message"
out-of-office,Book my calendar for out of office
out-of-office,"I am taking off for 2 days, need to create email for it"
out-of-office,apply for out of office
out-of-office,i want to apply for out of office
payslip,show me the payslip
payslip,Specific payslip
payslip,display the payslip for june month
payslip,get the payslip for june month
payslip,payslip for june month
payslip,payslip for june 2109
payslip,payslip for a specific month
payslip,how can i get old salary payslip
payslip,how can i get old payslip
payslip,how to know my payslip
payslip,How to see payslips
payslip,How to see my payslip
payslip,i haven't received my payslip for May 2019
payslip,i haven't received my payslip for Jan 2019
payslip,I want to see my salary
payslip,I want to see my salary slip
payslip,May 2019 pay slip
payslip,May 2019 payslip
payslip,June 2019 pay slip
payslip,show me the latest payslip
payslip,pay slip for May 2018
payslip,pay slip for may 2018
payslip,pay slip for May 2019
payslip,how to access pay slip
payslip,Where is payslip option
payslip,Can i get my payslip?
payslip,payslip for the month of october 2019
payslip,july 2018 payslip
payslip,pls share August 2019 Payroll details
payslip,share November 2019 Payslip
payslip,my paystub
payslip,paystub
payslip,show me paystub
payslip,i want to see paystub
payslip,help me with paystub
payslip,what is my last pay
payslip,What was my last month salary
payslip,What was my salary last month 
payslip,what is my last pay withdrawn
payslip,salary slip
payslip,get my payslip
payslip,what is my pay in the last 3 months 
payslip,show my salaruy
payslip,my salry
payslip,salry
payslip,yes please help me with salary
payslip, what is my salary
payslip, whats my salary
philosophy,What is the philosophy around promotion and progression?
philosophy,What is the philosophy around promotion and progression
philosophy,What is the strategy around promotion and progression
philosophy,strategy around promotion and progression
philosophy,tell me the strategy around promotion and progression
philosophy,tell me about the philosophy around promotion and progression?
philosophy,philosophy around promotion and progression?
policy-related-queries,policy related queries
premium-contribution,What is the premium contribution for Medclaim policy?
premium-contribution,premium contribution for medical insurance
premium-contribution,What is the premium contribution for Medclaim insurance? 
premium-contribution,What is the premium contribution for Medclaim insurance
process-for-medical-treatment,Process for Medical Treatment
process-for-medical-treatment,What is the Process for Medical Treatment
process-for-medical-treatment,Medical treatment process
process-for-medical-treatment,what is the procedure for medical treatment
process-for-medical-treatment,procedure for medical treatment
process-for-medical-treatment,what is the process that needs to be followed for medical treatment
process-for-medical-treatment,procedure to avail medical treatment
process-for-medical-treatment,Process for Emergency Medical Treatment
process-for-medical-treatment,procedure to avail Emergency medical treatment
process-for-medical-treatment,what is the process that needs to be followed for Emergency medical treatment
process-for-medical-treatment,Process for Emergency Medical Treatment in Network Hospitals
process-for-promotion,What is the process for promotion/progression
process-for-promotion,what is the process for promotion
process-for-promotion,what is the process for progression
process-for-promotion,i would like to know the process for promotion
process-for-promotion,could you please tell me about the process to progression
process-for-promotion,process for progression
process-for-promotion,process for promotion
progression-and-promotion,what is Promotion
progression-and-promotion,What is Progression
progression-and-promotion,tell me about progression
progression-and-promotion,tell me about promotion
progression-and-promotion,promotion and progression
progression-and-promotion,what is promotion and progression
promotion-cycle,"Promotions were supposed to be in January, now that the cycle did not happen, will the promotions now be effective from 1st of Jan? We are already three months past Jan. I have lost out on compensation"
promotion-cycle,"Promotions were supposed to be in January, now that the cycle did not happen, will the promotions now be effective from 1st of Jan?"
promotion-cycle,We are already three months past Jan. I have lost out on compensation
promotion-cycle,when will promotion cycle be effective from?
promotion-not-available-immediately,promotion was due
promotion-not-available-immediately,Is promotion available immediately?
promotion-not-available-immediately,will my promotion happen immediately
promotion-not-available-immediately,promotion in my band is not available immediately
promotion-not-available-immediately,when will i get promoted
promotion-not-available-immediately,any idea on promotion dates
promotion-not-available-immediately,promotion dates
promotion-not-available-immediately,Employees (R3 and below) who would have been promoted in January’19 post re-banding may fall in the band where promotion may not be available immediately.
promotion-not-available-immediately,is it possible to give promotion to me in next month.
promotion-with-re-banding,When is promotion going to happen?  Will this happen simultaneously with Re-Banding results? 
promotion-with-re-banding,When is promotion going to happen? 
promotion-with-re-banding,will promotion happen simultaneously with Re-Banding results?
promotion-with-re-banding,when will promotions happen
promotion-with-re-banding,what about promotions
promotion-with-re-banding,How will promotions be handled
promotion-with-re-banding,How will promotions happen
quota-for-progression-in-a-year,Are there any quota for progression in a year
quota-for-progression-in-a-year,total number of progressions in a year
quota-for-progression-in-a-year,allocated number of progressions in this year
quota-for-promotions-in-a-year,Are there any quota for Promotions in a year
quota-for-promotions-in-a-year,quota for Promotions in a year
quota-for-promotions-in-a-year,number of promotions in a year
quota-for-promotions-in-a-year,total number of allocated promotions in a year
quota-for-promotions-in-a-year,maximum number of promotions allocated
quota-for-promotions-in-a-year,total number of allocated promotions allocated 
r_faq_1,can you recommend any particular movers and packers
r_faq_1,"does company recommend any particular transporters,"
r_faq_1,"Does the company recommend any particular movers and packers, transporters, or similar service providers?"
r_faq_1,movers and packers recommended by company
r_faq_1,recommended packers and movers
r_faq_1,which packer and mover agency to go with
r_faq_1,which transporter agency should i hire
r_faq_10,for availing the brokerage fee expense reimbursement what documents need to be submitted
r_faq_10,What documents need to be submitted for availing the brokerage fee expense  reimbursement?
r_faq_10,brokerage fee expense reimbursement?
r_faq_10,brokerage fee expense reimbursement
r_faq_2,what time i get to submit joining expenses claims
r_faq_2,What is the maximum time extension I can get to submit joining expenses claims?
r_faq_2,how much time we get to submit joining expenses claims
r_faq_2,joining expenses claims
r_faq_2,expense claims
r_faq_2,by when can i submit joining expenses claims
r_faq_2,last date to submit expense claims for joining
r_faq_2,by when do i need to submit expense claims
r_faq_2,joining expense claims deadline
r_faq_3,on which joining expenses taxes are there
r_faq_3,joining expenses claim that are taxable
r_faq_3,Which joining expense claims are taxable?
r_faq_3,taxable
r_faq_3,taxed
r_faq_3,pay tax on expense claims
r_faq_3,taxes on expense claims
r_faq_4,should i return my joining expense claims when i leave the company
r_faq_4, when i leave the company should i return my joining expense claim
r_faq_4,return my joining expense
r_faq_4,Will I need to return my joining expense claims in case I leave the organisation?
r_faq_5,Does initial stay include food and laundry reimbursements as well?
r_faq_5,do we get reimbursement on food and laundry
r_faq_5,do we also have food and laundry reimbursement 
r_faq_6,i want leave to help my family move
r_faq_6,Can I take leave to help my family move?
r_faq_6,i want to apply leave to help my family move
r_faq_7,road travel to location of posting reimbursement is available for role-bands R1
r_faq_7,Is road travel to location of posting not reimbursed for role-bands R1? 
r_faq_8,till what age my children will be treated dependent
r_faq_8, Who will be treated as dependent children?
r_faq_9,What is the travel limit beyond which the employee is eligible for claiming joining expenses?
r_faq_9,for claiming joining expenses what should be the minimum travel distance
reason-for-not-promoting,I didn’t get promoted/progression. What is the reason
reason-for-not-promoting,what is the reason for not getting promoted
reason-for-not-promoting,reason  for not getting promoted
reason-for-not-promoting,why was i not promoted
reason-for-not-promoting,why was i not promoted. who should i talk to
reason-for-not-promoting,who should i talk to i am not promoted
reason-for-not-promoting,I didn’t get promoted. What is the reason?
reason-for-not-promoting,I didn’t get progression. What is the reason?
reason-for-not-promoting,I didn’t get promoted. What could be the reason?
reason-for-not-promoting,i want to know the reason for not getting promoted
reason-for-not-promoting,what could be the reason for not getting a promotion
reimbursement-for-official-expenses,Reimbursement for official expenses
reimbursement-for-official-expenses,official expenses Reimbursement
reimbursement-for-official-expenses,Employee Reimbursement link
reimbursement-for-official-expenses,I need to reimburse some official expenditure
reimbursement-for-official-expenses,I need to reimburse some office related expenditure
reimbursement-of-hospitalization-expenses,Reimbursement of Pre & Post Hospitalization Expenses:
reimbursement-of-hospitalization-expenses,Reimbursement of Pre & Post Hospitalization Expenses
reimbursement-of-hospitalization-expenses,Reimbursement Hospitalization Expenses
restrictions-in-the-policy,What are some restrictions in the policy
restrictions-in-the-policy,what are some of the restrictions in the policy
restrictions-in-the-policy,What is the limit for room
restrictions-in-the-policy,What is the limit for room in the policy
restrictions-in-the-policy,"What is the limit for room, ambulance, maternity limit, "
restrictions-in-the-policy,What is the limit for ambulance in the policy
restrictions-in-the-policy,What is the limit for  maternity limit in the policy
restrictions-in-the-policy,Is cataract covered. What is the limit for lens.
restrictions-in-the-policy,Is cataract covered
restrictions-in-the-policy,how much should i pay for a room
restrictions-in-the-policy,what is the limit for room
restrictions-in-the-policy,how much i can avail for maternity treatment
restrictions-in-the-policy,What is the maternity limit
restrictions-in-the-policy,Is physiotherapy covered
restrictions-in-the-policy,Is physiotherapy covered
restrictions-in-the-policy,IVF covered
restrictions-in-the-policy,In-Vitro fertilization
restrictions-in-the-policy,Is In-Vitro fertilization covered
restrictions-in-the-policy,is IVF covered
restrictions-in-the-policy,Is physiotherapy covered
restrictions-in-the-policy,Is physiotherapy covered
restrictions-in-the-policy,what is the hospital room rent under mediclaim policy
restrictions-in-the-policy,what is the ambulance limit mediclaim policy
role-banding-achievement,What does this initiative aspire to achieve?
role-banding-achievement,What does role banding initiative aspire to achieve?
role-banding-achievement,role banding initiative
role-banding-achievement,inspiration behind role banding
role-banding-achievement,what is the purpose of role banding
role-banding-achievement,purpose of role banding
role-banding-achievement,purpose behind of role banding
role-banding-achievement,purpose behind role banding
role-banding-achievement,role banding purpose
role-banding-achievement,reason behind role banding
role-banding-achievement,inspiration for role banding
role-banding-achievement,what can be achieved with role banding
role-banding-achievement,role banding acheivement
role-banding-achievement,more about role banding
role-banding-achievement,tell me more about role banding
role-banding-achievement,what is role banding
role-banding-achievement,What is a role band
role-banding-achievement,what is role banding excercise
role-banding-achievement,what is role band
role-banding-achievement,tell me about role banding
role-banding-achievement,what do you mean by role banding
role-banding-achievement,what is rolebanding
role-banding-achievement,role banding
role-banding-achievement,banding role
role-banding-layoffs,Will the new bands lead to more layoffs? Is there another wave coming?
role-banding-layoffs,will there be any layoffs 
role-banding-layoffs,layoffs
role-banding-layoffs,is this for layoffs
role-banding-layoffs,is role banding for layoffs
role-banding-layoffs,is role banding being done for layoffs
role-banding-layoffs,Will the new bands lead to more layoffs? 
role-banding-layoffs,Is there another wave coming?
role-banding-layoffs,is this being done for cost cutting
role-banding-layoffs,is this a cost cutting exercise
role-banding-layoffs,am i demoted
role-banding-layoffs,will i be demoted
role-banding-layoffs,is role banding for demotion
role-banding-layoffs,earlier i was manager now i am team member is it a demotion
role-banding-layoffs,is it a demotion
role-banding-was-unnecessary,i feel role banding was un necessary
role-banding-was-unnecessary,role banding will not be fruitful
role-banding-was-unnecessary,i feel this is waste of time
role-banding-was-unnecessary,i feel this wont be successful
role-banding-was-unnecessary,will this be successful
role-banding-was-unnecessary,i feel role banding was unnecessary
role-banding-was-unnecessary,role banding was unnecessary
role-banding-was-unnecessary,role banding
role-change-and-promotion,"My role changed recently, why it was not treated/ classified/considered as promotion or progression"
role-change-and-promotion,"My role changed recently, why it was not treated as promotion "
role-change-and-promotion,"My role changed recently, why it was not treated as progression"
role-change-and-promotion,"My role changed recently, why it was not classified as promotion"
role-change-and-promotion,"My role changed recently, why it was not considered as promotion"
role-change-and-promotion,"My role changed recently, why it was not considered as progression"
role-change-and-promotion,"My role changed recently, why it was not classified as progression"
role-change-and-promotion,recently my role got changed. but why was it not classified as promotion or progression
role-change-and-promotion,even after my role getting changed it was considered as neither promotion nor progression
role-change-and-promotion,my role changed but i didnt get a promotion
role-change-and-promotion,My role changed but I didn’t get a promotion
s-the-movement-from-a-role-in-band-blue-to-a-role-in-green-band-considered-a-promotion,Is the movement from a role in band blue to a role in green band considered a promotion 
s-the-movement-from-a-role-in-band-blue-to-a-role-in-green-band-considered-a-promotion,Is the movement from a role in band green to a role in yellow band considered a promotion
s-the-movement-from-a-role-in-band-blue-to-a-role-in-green-band-considered-a-promotion,Is the movement from a role in B band to G band considered a promotion - same as below
salary-advance,Am i eligible for salary advance  ?
salary-advance,salary advance  
salary-advance,salary advance eligibilty
salary-advance,i need salary in advance
salary-and-promotion-progression-linkage,Salary and promotion/progression linkage
salary-and-promotion-progression-linkage,what is the link between salary and promotion
salary-and-promotion-progression-linkage,what is the link between salary and progression
salary-and-promotion-progression-linkage,how is salary related to progression
salary-and-promotion-progression-linkage,how is salary related to promotion
salary-and-promotion-progression-linkage,what is the relation between salary and promotion
salary-and-promotion-progression-linkage,what is the relation between salary and progression
salary-increase-promotion,"If I get a promotion, will I get salary increase"
salary-increase-promotion,If I get a promotion will I get salary increase
salary-increase-promotion,will promotion leads to salary increase
salary-increase-promotion,salary increase and promotion
salary-increase-promotion,salary increase and promotion
salary-increase-promotion,will i get an increase in salary with promotion
salary-increase-promotion,will i get an increment in salary with progression
salary-increase-promotion,will i get an increase in salary with progression
salary-increase-promotion,increment with progression
salary-increase-promotion,increment with promotion
salary-increase-promotion,If I get a promotion will I get salary increase
salary-increase-promotion,will i get an increase with a progression
salary-increase-promotion,I got a promotion will i get a hike 
salary-increase-promotion,will i get a salary hike if get a promotion
salary-increase-promotion,i got promoted will there be any hike in my salary
salary-increase-promotion,will my salary increase with progression
salary-increase-promotion,will my salary increase after progression
salary-increase-promotion,will my salary increase after promotion
salary-less-than-previous-month,Why my salary is less than the previous month?
salary-less-than-previous-month,Why my salary is less than the previous month
salary-less-than-previous-month,why is my salary less
salary-less-than-previous-month,salary less than previous month
salary-less-than-previous-month,why i got less salary
salient-features-of-group-mediclaim-policy,Salient Features of Group Mediclaim Policy
salient-features-of-group-mediclaim-policy,what are the feature of  Group Mediclaim Policy
salient-features-of-group-mediclaim-policy,some features of  Group Mediclaim Policy
salient-features-of-group-mediclaim-policy,Group Mediclaim Policy features
salient-features-of-group-mediclaim-policy,where can i see my mediclaim benifits
salient-features-of-group-mediclaim-policy,how to see my mediclaim benifits
salient-features-of-group-mediclaim-policy,how to see my mediclaim benefits
salient-features-of-group-mediclaim-policy,group mediclaim benifits
same-band-after-promotion,I just had a promotion and now I see my band is the same as colleagues who were previously in a lower band
same-band-after-promotion,my band is same as colleagues who were previously in a lower band
same-band-after-promotion,same band as colleagues who were previously in a lower band
same-band-after-promotion,same band after promotion
sap-password,can you help me change my sap password
sap-password,i need to change my sap password please help me
sap-password,i need to change my sap password. how do i do it
schedule-meeting,I wan to schedule a meeting
schedule-meeting,schedule a meeting
schedule-meeting,i want to schedule a meeting from jan 2019 to jan 2019
schedule-meeting,I want to schedule a meeting from june 1st
schedule-meeting,i want to schedule a meeting on january 1st 2019
schedule-meeting,i want to schedule meeting tomorrow 10 am to 11 am
schedule-meeting,book a meeting tomorrow
schedule-meeting,book a meeting on 24 aug
schedule-meeting,block my time
schedule-meeting,block the meeting 
schedule-meeting,schedule a meeting for me
schedule-meeting,block meeting for me
schedule-meeting,Block calendar
schedule-meeting,I want to block calendar of Raghu
schedule-meeting,Join a discussion with gaurav
schedule-meeting,Book calendar of gaurav
schedule-meeting,Calendar booking
schedule-meeting,Organize meeting
schedule-meeting,Meet with Shubhi
schedule-meeting,Schedule a meet with Shubhi
schedule-meeting,Schedule a discussion with Shubhi
schedule-meeting,How to block calendar of Kishore
schedule-meeting,can you set up a meeting with rajdeep
schedule-meeting,can you set up a connect
schedule-meeting,can you set up a sync up
schedule-meeting,create a sync up tomorrow
schedule-meeting,schedule a connect
schedule-meeting,schedule a sync up meeting
schedule-meeting,arrange meeting tomorrow
schedule-meeting,I want to know about rajesh
schedule-meeting,search for @rajdeep
schedule-meeting,Show my CEO's profile data
schedule-meeting,I want to have a meeting with Rajesh
schedule-meeting,can you organise a meeting with rajesh
schedule-meeting,block my calendar tomorrow
schedule-meeting,block calendar with rajesh
schedule-meeting,can you block my calendar from 7 to 8 am tomorrow
schedule-meeting,I want to have a meeting with @nasrullah
shut-up-and-go-away,shut up and go away
shut-up-other-profanities,shut up  (other profanities)
sla-for-reimbursement,what is sla for reimbursement
sla-for-reimbursement,sla for reimbursement
sla-for-reimbursement,what is sla for reimbursment
sla-for-reimbursement,time line for sla
sla-for-reimbursement,SLA  reimbursement
sm_faq_1,i am a new recruit can i avail maternity leave
sm_faq_1,Are trainees and new recruits entitled to maternity leave?
sm_faq_1,can new recruits avail maternity leave
sm_faq_1,can trainees entitled to maternity leave
sm_faq_1,are trainees entitled to maternity leave
sm_faq_1,are new recruits entitled to maternity leave
sm_faq_1,are new commers entitled to maternity leave
sm_faq_11,is maternity leave available
sm_faq_11,do you have maternity leave
sm_faq_11,do the company offers maternity leave
sm_faq_11,maternity leave
sm_faq_11,can we apply for maternity leave
sm_faq_11,do we have a provision for maternity leave
sm_faq_11,do we have maternal leave
sm_faq_11,do we have maternity leave
sm_faq_12,paternity leave
sm_faq_12,do the company offers paternity leave
sm_faq_12,do you have paternity leave
sm_faq_12,is paternity leave available
sm_faq_12,can we apply for paternity leave
sm_faq_12,Do we have paternal leave
sm_faq_2,Can I claim reimbursement on expenses of hospitalization during birth?
sm_faq_2,is there any reimbursement on expenses of hospitalization during birth
sm_faq_2,can i get money back on expenses of hospitalization during birth
sm_faq_2,reimbursement on expenses of hospitalization during birth
sm_faq_3,is there any upper limit for claiming maternity benefits on number of pregnancies
sm_faq_3,Are there any restrictions on the number of pregnancies I can claim maternity benefits for?
sm_faq_3,is there a limit to which i can claim maternity benefits 
sm_faq_3,on how many pregnancies i can get maternity benefits
sm_faq_3,limit to claim maternity benfits
sm_faq_4,can i join paternity leaves with annual paid leave
sm_faq_4,Can maternity or paternity leave be clubbed with annual paid leave?
sm_faq_4,can we club paternity leaves with annual paid leave
sm_faq_4,can we club maternity leaves with annual paid leave
sm_faq_4,can paternity and annual paid leaves be clubbe
sm_faq_4,can paternity and annual paid leaves be clubbed
sm_faq_5,can we encash maternity or paternity leave
sm_faq_5,can i carry forward paternity or maternity leave
sm_faq_5,Can maternity or paternity leave be encashed?
sm_faq_5,can we encash paternity leave
sm_faq_5,can we encash maternity leave
sm_faq_5,can we carry forward paternity leave
sm_faq_5,can we carry forward maternity leave
sm_faq_6,can anyone reject an application for paternity leave
sm_faq_6,can my application for paternity leave be rejected
sm_faq_6,can supervisor can say no to paternity leave
sm_faq_6,Can the supervisor reject an application for paternity leave?
sm_faq_6,can paternity leave be rejected
sm_faq_7,Can I take leave in case of Illness arising out of pregnancy?
sm_faq_7,i want leave due to illness arising out of pregnancy
sm_faq_8,will i definitely get sabbatical leave
sm_faq_8,can my application for sabbatical be rejected
sm_faq_8,Can my request for a sabbatical be rejected?
sm_faq_8,can sabbatical leave be rejected
sm_faq_9,i want to take sabbatical but my leaves are left
sm_faq_9,can i take sabbatical  even if i have leaves left
sm_faq_9,"If I choose to take a sabbatical, can I do so only if I first use up my leaves?"
sm_faq_9,do i need to use my leaves first to choose sabbatical leave
sm_faq_9,do i need to use my leaves first to apply for sabbatical leave
stopping-promotions,Was it worth stopping promotions for one year?
stopping-promotions,is it worth stopping promotion
stopping-promotions,Was it worth stopping promotions ?
stopping-promotions,stopping of promotions
suggest-me-some-shows-on-netflix,Suggest me some shows on netflix
suggets-me-some-good-good,suggets me some good food
tea-or-coffee,tea or coffee
tell-me-a-joke,tell me a joke
tell-me-about-your-personality,tell me about your personality
tell-me-about-your-personality,what about your personality
tell-me-about-your-personality,i would like to know about your personality
tell-me-about-your-personality,whats your personality
tell-me-about-your-personality,your personality
tell-me-about-your-personality,tell me about your personality
tell-me-something-funny,tell me something funny
temperature,what is the temperature now?
temperature,temperature
temperature,what is the temperature
thank-you,Thank you
thank-you,thnx
thank-you,thks
thank-you,thanks
thank-you,thx
thank-you,thank u
thanks-a-lot,Thanks a lot
thanks-a-lot,no thanks
time-limit-for-submitting-documents,what is the time limit for submitting the documents
time-limit-for-submitting-documents,time limit for submitting the documents
time-limit-for-submitting-documents,for submitting the documents what is the time limit
time-limit-for-submitting-documents,tell me the time limit for document submission
time-to-get-promoted,What is the typical tenure to get promoted to next level
time-to-get-promoted,time to get promoted
time-to-get-promoted,duration to get promoted
time-to-get-promoted,how much time does it generally take to get promoted
time-to-get-promoted,how long it takes to get promoted after joining the company
todays-notifications,show me todays notifications
todays-notifications,what are my notifications today
todays-notifications,show me todays notifications
travel-advance,Travel Advance
travel-advance,link for Travel Advance
travel-advance,Travel Advance link
trendy,Trendy
trendy,What is trending now
tv,do you like movies
tv,do you watch television
tv,do you see tv
tv,do you watch movies
tv,do you watch movies on television
tv,what kind of movies do you like
tv,movies that you like on tv
tv,do you watch any movies on television
tv,whats the last movie that you watched on television
tv,whats you favourite show on television
voluntary-add-on-packs,Voluntary Add-on Packs
voluntary-add-on-packs,What are the available Voluntary Add-on Packs?  
voluntary-add-on-packs,show me the available Voluntary Add-on Packs
voluntary-add-on-packs,What are the available Add-on Packs?  
what-day-is-it-today,What day is it today?
what-do-you-do-with-my-data-do-you-save-what-i-say,What do you do with my data? / Do you save what I say?
what-do-you-look-like,What do you look like?
what-do-you-prefer-tea-or-coffee,what do you prefer tea or coffee
what-do-you-think-if-better-tea-or-coffee,what do you think if better tea or coffee
what-do-you-work-on,what do you work on
what-does-the-new-band-structure-look-like,What does the new band structure look like
what-does-the-new-band-structure-look-like,new band structure
what-does-the-new-band-structure-look-like,how does new band structure look
what-does-the-new-band-structure-look-like,organisation structure
what-does-the-new-band-structure-look-like,new organisation structure
what-does-the-new-band-structure-look-like,role band organisation structure
what-does-the-new-band-structure-look-like,want to know about organizational structure
what-does-the-new-band-structure-look-like,I want to know about organizational structure
what-is-going-on-social-media,what is going on social media
what-is-the-role-band-of-my-superior,What is the role band of my superior
what-is-the-role-band-of-my-superior,what is the role band of my colleague
what-is-the-role-band-of-my-superior,can i know the role band of my manager
what-is-the-role-band-of-my-superior,can i know the role band of my superior
what-is-trending-now,what is trending now
what-is-viral-on-social-media,what is viral on social media
what-is-your-favourite-book,What is your favourite book?
what-is-your-favourite-colour,What is your favourite colour?
what-is-your-favourite-movie,What is your favourite movie
what-is-your-favourite-quote,What is your favourite quote?
what-is-your-job,What is your job?
what-is-your-mothers-name,What is your mother’s name?
what-is-your-name,What is your name?
what-is-your-name,Who are you ?
what-is-your-name,tell me about yourself
what-is-your-name,what is your name
what-is-your-name,please tell me your name
what-is-your-name,tell me your name
what-time-is-it,What time is it?
what-will-be-my-promotion-salary-increase,What will be my promotion salary increase
what-will-be-my-promotion-salary-increase,how much salary i will get after promotion
what-will-be-my-promotion-salary-increase,what hike i can expect after promotion
what-will-be-my-promotion-salary-increase,how much increment i can get after promotion
what-will-be-my-promotion-salary-increase,how much increment i can get after progression
what-will-be-my-promotion-salary-increase,What will be my promotion salary increase:
what-will-be-my-promotion-salary-increase,what will be my salary increase on promotion
what-will-be-my-promotion-salary-increase,what will be my promotion salary increase
what-will-be-my-promotion-salary-increase,what will the salary increase be if i promoted
whats-the-best-place-according-to-you,Whats the best place according to you?
whats-the-weather-like-today,What’s the weather like today?
whats-the-weather-like-today,How is the weather outside
whats-the-weather-like-today,How is the weather
whats-the-weather-like-today,Is it raining
whats-the-weather-like-today,how is the climate today
whats-the-weather-like-today,how is climate outside
whats-you-age,whats you age
whats-you-favourite-dish,Whats you favourite dish
whats-you-favourite-show-on-netflix,whats you favourite show on netflix
whats-you-favourite-song,whats you favourite song?
whats-your-age,your age
whats-your-age,whats your age
whats-your-age,how old are you
whats-your-age,what is your age
whats-your-age,how old are you
whats-your-favourite-city,whats your favourite city
whats-your-favourite-food,your favourite dish
whats-your-favourite-food,whats your favourite food item
whats-your-favourite-food,i'm hungry suggest me something to eat
whats-your-favourite-food,what you do eat regularly
whats-your-favourite-food,whats your favourite dish
whats-your-favourite-food,whats your favourite food
whats-your-favourite-food,suggest me something to eat
whats-your-favourite-food,fav food
whats-your-favourite-food,favorite food
whats-your-favourite-food,favourite food
whats-your-work,whats your work
whatsup,whatsup
whatsup,buddy whasup
whatsup,whatsup man
whatsup,whatsup buddy
when-were-you-created,When were you created?
when-will-i-get-promoted,what time i will be promoted
when-will-i-get-promoted,when do i get promoted
when-will-i-get-promoted,when do someone get promoted
when-will-i-get-promoted,when can i get promoted
when-will-i-get-promoted,how many times can someone get promoted
when-will-i-get-promoted,When will I get promotion?
where-do-you-live,Where do you live?
where-is-my-title-placed-in-hierarchy,Where is my title placed in hierarchy
where-is-my-title-placed-in-hierarchy,where do i stand in the hierarchy
where-is-my-title-placed-in-hierarchy,where do i stand in the growth map
where-is-my-title-placed-in-hierarchy,criteria for banding
where-is-my-title-placed-in-hierarchy,criteria for role banding
where-is-my-title-placed-in-hierarchy,criteria for role
where-is-my-title-placed-in-hierarchy,criteria for banding
which-languages-can-you-speak,Which languages can you speak?
which-languages-can-you-speak,Do you know Hindi
which-languages-can-you-speak,do you know telugu
which-languages-can-you-speak,do you speak telugu
which-languages-can-you-speak,do you speak hindi
which-languages-can-you-speak,Which language you understand
which-languages-can-you-speak,which language do you understand
which-languages-can-you-speak,can you understand telugu
which-languages-can-you-speak,can you understand hindi
who-am-i,Who am I?
who-built-you,Who built you
who-built-you,Who made you
who-built-you,who built you
who-decides-role-band-fitting,Who decided and approved my role band fitting?
who-decides-role-band-fitting,who decides role band fitting
who-decides-role-band-fitting,who will decide the role band
who-decides-role-band-fitting,who will decide which band i should be in
who-decides-role-band-fitting,who validated my band
who-decides-role-band-fitting,How was my band determined
who-decides-role-band-fitting,how did you classify the employees
who-decides-role-band-fitting,employee classification on role band
who-decides-role-band-fitting,premise of employee classification
who-decides-role-band-fitting,how was classification done
who-decides-role-band-fitting,how was role band determined
who-decides-role-band-fitting,selection process of role band
who-decides-role-band-fitting,How it was divided the role band
who-decides-role-band-fitting,how was role banding determined
who-else-is-placed-with-me-in-this-role-band,Who else is placed with me in this role band? 
who-else-is-placed-with-me-in-this-role-band,Who is placed with me in this role band?
who-else-is-placed-with-me-in-this-role-band,Who all are placed with me in this role band
who-else-is-placed-with-me-in-this-role-band,Who all are placed with me role banding
who-is-your-boss,who do you think rules you
who-is-your-boss,whom do you work under
who-is-your-boss,your head
who-is-your-boss,Who is your boss
who-is-your-boss,your boss
who-is-your-boss,your manager
who-is-your-boss,Who is your manager
who-is-your-boss,Who is your manager
who-is-your-boss,Who is your reporting manager
who-is-your-boss,Who is your owner
who-is-your-boss,Who is your Boss
who-is-your-daddy,who is your grand mother
who-is-your-daddy,Who is your mother
who-is-your-daddy,Who is your father
who-is-your-daddy,your mummy
who-is-your-daddy,Who is your daddy
who-is-your-daddy,your mom?
who-is-your-daddy,Who is your god father
who-is-your-daddy,who is your maternal uncle
